segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,11,0.23887800,9,368.642200,368.472300,-0.169900
1,11,0.23887800,10,392.539500,392.580000,0.040500
1,11,0.23887800,11,397.054200,396.827500,-0.226700
1,11,0.23887800,12,420.900100,420.718700,-0.181400
1,11,0.23887800,13,426.789200,426.726700,-0.062500
1,11,0.23887800,14,442.749300,442.708600,-0.040700
1,11,0.23887800,15,450.056000,450.191400,0.135400
1,11,0.23887800,16,468.250800,467.946800,-0.304000
1,11,0.23887800,17,493.521100,493.337300,-0.183800
1,11,0.23887800,18,525.539300,525.198700,-0.340600
1,11,0.23887800,19,539.485700,539.039000,-0.446700
1,11,0.23887800,20,547.866800,547.843700,-0.023100
1,11,0.23887800,21,553.361400,553.208000,-0.153400
1,11,0.23887800,22,556.619500,556.431900,-0.187600
1,11,0.23887800,23,571.506900,571.360400,-0.146500
1,11,0.23887800,24,608.413800,608.292800,-0.121000
1,11,0.23887800,25,631.872900,632.026900,0.154000
1,11,0.23887800,26,658.027000,658.298400,0.271400
1,11,0.23887800,27,716.578900,715.714300,-0.864600
1,11,0.23887800,28,719.523600,718.790400,-0.733200
1,11,0.23887800,29,724.862000,724.405600,-0.456400
1,11,0.23887800,30,849.802200,849.756700,-0.045500
1,12,0.26059400,1,92.024400,91.505000,-0.519400
1,12,0.26059400,2,100.395400,99.918500,-0.476900
1,12,0.26059400,3,175.788400,175.537300,-0.251100
1,12,0.26059400,4,269.725500,269.701300,-0.024200
1,12,0.26059400,5,324.356000,324.454800,0.098800
1,12,0.26059400,6,326.428200,326.273600,-0.154600
1,12,0.26059400,7,352.111800,351.640300,-0.471500
1,12,0.26059400,8,354.660100,354.672800,0.012700
1,12,0.26059400,9,367.372000,367.150300,-0.221700
1,12,0.26059400,10,392.120500,392.170300,0.049800
1,12,0.26059400,11,396.973400,396.744000,-0.229400
1,12,0.26059400,12,422.430700,422.204900,-0.225800
1,12,0.26059400,13,428.723900,428.690900,-0.033000
1,12,0.26059400,14,445.408700,445.358200,-0.050500
1,12,0.26059400,15,452.806300,452.922400,0.116100
1,12,0.26059400,16,470.478000,470.120200,-0.357800
1,12,0.26059400,17,491.865300,491.688500,-0.176800
1,12,0.26059400,18,522.494400,522.133600,-0.360800
1,12,0.26059400,19,537.580800,537.112100,-0.468700
1,12,0.26059400,20,545.929900,545.916800,-0.013100
1,12,0.26059400,21,552.580400,552.367800,-0.212600
1,12,0.26059400,22,556.457400,556.174000,-0.283400
1,12,0.26059400,23,570.398400,570.332600,-0.065800
1,12,0.26059400,24,608.610800,608.494800,-0.116000
1,12,0.26059400,25,633.489200,633.665700,0.176500
1,12,0.26059400,26,656.873100,657.195900,0.322800
1,12,0.26059400,27,716.780300,715.841000,-0.939300
1,12,0.26059400,28,719.892700,719.082800,-0.809900
1,12,0.26059400,29,726.821800,726.335900,-0.485900
1,12,0.26059400,30,847.970800,847.922700,-0.048100
1,13,0.28231000,1,99.576100,99.033500,-0.542600
1,13,0.28231000,2,108.540700,108.040600,-0.500100
1,13,0.28231000,3,189.676300,189.393200,-0.283100
1,13,0.28231000,4,267.851500,267.815400,-0.036100
1,13,0.28231000,5,320.571400,320.662100,0.090700
1,13,0.28231000,6,323.250800,323.095200,-0.155600
1,13,0.28231000,7,351.805300,351.312800,-0.492500
1,13,0.28231000,8,352.460100,352.512100,0.052000
1,13,0.28231000,9,366.126100,365.841500,-0.284600
1,13,0.28231000,10,391.917500,391.980200,0.062700
1,13,0.28231000,11,396.911600,396.680500,-0.231100
1,13,0.28231000,12,423.647600,423.384600,-0.263000
1,13,0.28231000,13,430.854400,430.841700,-0.012700
1,13,0.28231000,14,448.110400,448.048400,-0.062000
1,13,0.28231000,15,454.969500,455.058800,0.089300
1,13,0.28231000,16,472.888400,472.481900,-0.406500
1,13,0.28231000,17,490.572300,490.404600,-0.167700
1,13,0.28231000,18,519.292000,518.913500,-0.378500
1,13,0.28231000,19,535.755300,535.268700,-0.486600
1,13,0.28231000,20,543.208900,543.192300,-0.016600
1,13,0.28231000,21,552.414600,552.156000,-0.258600
1,13,0.28231000,22,556.015600,555.636100,-0.379500
1,13,0.28231000,23,569.728800,569.742200,0.013400
1,13,0.28231000,24,608.729900,608.619300,-0.110600
1,13,0.28231000,25,634.884400,635.082400,0.198000
